,,,,number of records,,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Postcode,,,,,,,,,,,,,
Response ID,Date submitted,Date started,Date last action,IP address,Referrer URL,Which part of the NHS do you mainly work in?,Which part of the NHS do you mainly work in? [Other],What is your main job/role within the NHS?,What is your main job/role within the NHS? [Other],Can you access WiFi in your place of NHS work?,Which of the following apply to your experience of WiFi access at your usual place of NHS work? [I can connect to WiFi with my own device (BYOD)],Which of the following apply to your experience of WiFi access at your usual place of NHS work? [I can connect to WiFi with a work-provided device],Which of the following apply to your experience of WiFi access at your usual place of NHS work? [WiFi requires login on a web page after device connects to WiFi network],"Which of the following apply to your experience of WiFi access at your usual place of NHS work? [I have access to EduRoam, the academic WiFi network]","Which of the following apply to your experience of WiFi access at your usual place of NHS work? [WiFi is provided by a commercial service (WiFispark, BT OpenZone, The Cloud etc)]",Which of the following apply to your experience of WiFi access at your usual place of NHS work? [WiFi access is free],Which of the following apply to your experience of WiFi access at your usual place of NHS work? [WiFi access works in most areas of my workplace that I need it to.],Please provide some further information: [WiFi access is only for work devices and I haven't been provided with one],Please provide some further information: [WiFi isn't required - internet and clinical record access via Desktop PCs is sufficient],Please provide some further information: [There are no WiFi networks at all],"Please provide some further information: [There is a good mobile data signal (ie 3G, 4G) in my place of work]",Please provide some further information: [Other],"Do you think access, or lack of access, to WiFi during your NHS work affects the care you can provide for your patients?","Do you think access, or lack of access, to WiFi during your NHS work affects the care you can provide for your patients? - comment","OPTIONAL: What can you already do, and what would you like to be able to do with WiFi access at your workplace? [Medical knowledge resources]","OPTIONAL: What can you already do, and what would you like to be able to do with WiFi access at your workplace? [Personal email]","OPTIONAL: What can you already do, and what would you like to be able to do with WiFi access at your workplace? [Trust Intranet access]","OPTIONAL: What can you already do, and what would you like to be able to do with WiFi access at your workplace? [Work email/NHSMail]","OPTIONAL: What can you already do, and what would you like to be able to do with WiFi access at your workplace? [Mobile electronic medical record access]","OPTIONAL: What can you already do, and what would you like to be able to do with WiFi access at your workplace? [Order tests for patients]","OPTIONAL: What can you already do, and what would you like to be able to do with WiFi access at your workplace? [Getting results of patients' tests]","OPTIONAL: What can you already do, and what would you like to be able to do with WiFi access at your workplace? [Patients' demographic details & location tracking]","OPTIONAL: What can you already do, and what would you like to be able to do with WiFi access at your workplace? [Social Media/Social Networking]",Which of the following best describes Patient/Visitor access to WiFi at your place of NHS work:,Which of the following best describes Patient/Visitor access to WiFi at your place of NHS work: [Other],OPTIONAL: What is the postcode of the NHS organisation at which you do most of your work?,OPTIONAL: do you have any comments on WiFi access for staff or patients in the NHS?,Total time,Group time: WiFi in your Workplace,Question time: NHSSECTOR,Question time: JOBROLE,Question time: YESNOWIFI,Question time: YESWIFI,Question time: NOWIFI,Question time: CAREQUALITY,Question time: DOWITHWIFI,Question time: Q0009,Question time: POSTCODE,Question time: COMMENTS
,,,,PERCENTAGES>,,,,,,51.24%,31.33%,27.18%,21.99%,2.90%,11.62%,39.63%,26.97%,23.03%,4.77%,12.66%,5.19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,2014-09-25 08:50:53,2014-09-25 08:46:24,2014-09-25 08:50:53,213.106.240.194,http://bawmedical.co.uk/lime/index.php/696915,2,,A6,,1,1,,1,,,1,,,,,,,4,,SQ002,SQ001,SQ002,SQ001,SQ002,SQ003,SQ003,SQ003,SQ003,2,,OX37LJ,Currently un-secure access therefore warning comes up at every log in - does restrict what information I will access,268.63,,,,,,,,,,,
9,2014-09-18 13:18:03,2014-09-18 13:08:33,2014-09-18 13:18:03,194.176.105.138,,2,,A3,,0,,,,,,,,1,,,,,2,as its not allowed you can have no idea what effect it would have,SQ002,SQ002,SQ002,SQ002,SQ003,SQ003,SQ003,SQ003,SQ002,-oth-,Not allowed,HU3,,570.95,,,,,,,,,,,
1262,2014-09-25 08:47:20,2014-09-25 08:43:52,2014-09-25 08:47:20,194.176.105.150,http://bawmedical.co.uk/lime/index.php/696915/lang-en,1,,A3,,1,,,,,,1,,,,,,,1,,SQ003,SQ001,SQ003,SQ002,SQ003,SQ003,SQ003,SQ003,SQ001,4,,SO22 5DG,,208.36,,,,,,,,,,,
13,2014-09-18 13:24:40,2014-09-18 13:15:03,2014-09-18 13:24:40,194.176.105.150,http://www.google.com/url?q=http%3A%2F%2Fbit.ly%2F1sneR2w&sa=D&sntz=1&usg=AFQjCNGs2NJSTFm8Dzx-755C0K0_KDuiew,2,,A4,,1,1,1,1,,1,1,1,,,,,,1,At present I use the patient wifi using our team device not on the trust network but a device on the trust network would be preferable. ,SQ001,SQ001,SQ002,SQ002,SQ003,SQ003,SQ003,SQ003,SQ001,2,,so22 5dg,Trust wifi access must be with a trust device and our IT team are slow to offer advice about what devices they will support so we gave up and once the patient wifi came along we decided to have devices which we connect to the patient wifi as it was simpler and didn't involve IT team!,577.77,,,,,,,,,,,
14,2014-09-18 13:24:17,2014-09-18 13:19:18,2014-09-18 13:24:17,62.252.63.179,,4,,-oth-,Library,0,,,,,,,,1,,,,,2,,,,,,,,,,,4,,RG30 4EJ,It would be useful to have access to WiFi so that I can demon,299.55,,,,,,,,,,,
15,2014-09-18 13:24:34,2014-09-18 13:21:02,2014-09-18 13:24:34,194.176.105.132,,4,,A4,,1,1,1,,,,1,,,,,,,4,,SQ001,SQ001,SQ001,SQ001,SQ003,SQ003,SQ003,SQ003,SQ001,-oth-,None,SO30 3JB,I think for patients it would be good ,212.69,,,,,,,,,,,
16,2014-09-18 13:31:08,2014-09-18 13:21:10,2014-09-18 13:31:08,62.255.241.85,,2,,A3,,1,1,1,,,,1,,,,,,,2,,SQ001,SQ001,SQ002,SQ003,SQ003,SQ003,SQ003,SQ003,SQ002,4,,RG1,,598.22,,,,,,,,,,,
